smiles,pubchem,cirpy,exists_any,Has_CAS
CCOC(=O)N1CCN([C@@H]2CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@H](Cc3ccccc3)C2)CC1,False,True,True,False
O=C(Cl)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,False,True,True,False
CCC(=O)Nc1c(C)ccc(N2CCN([C@H]3CCN(C(=O)OCc4ccccc4)[C@H](Cc4ccccc4)C3)CC2)c1C,False,True,True,False
CCC(=O)Nc1c(C)ccc(N2CCN([C@H]3CCN(Cc4ccccc4)[C@H](Cc4ccccc4)C3)CC2)c1C,False,True,True,False
CCC(=O)Nc1c(C)ccc(N2CCNCC2)c1C,False,True,True,False
O=Cc1ccccc1,False,True,True,False
[C]=O,False,True,True,False
NCc1ccc(F)cc1F,False,True,True,False
C[C@@H](N)CCO,False,True,True,False
NCC(O)CO,False,True,True,False
COS(=O)(=O)OC,False,True,True,False
C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12,False,True,True,False
O=C1CCCC1,False,True,True,False
COB(OC)OC,False,True,True,False
CCc1cc(C)cc(CC)c1-c1cc(C)c2c(n1)[C@H](O)CC2,False,True,True,False
CCOC(=O)CC(C)=O,False,True,True,False
Cc1cc(O)nc2c1CCC2,False,True,True,False
CC(=O)O,False,True,True,False
CN(C)C=O,False,True,True,False
N=CN,False,True,True,False
O,True,True,True,False
CC(C)(C)OC(=O)N1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCCO3,False,True,True,False
c1cc2c3c(c1)[C@H]1CNCC[C@H]1N3CCCO2,False,True,True,False
O=C(O[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C(=O)O)c1ccccc1,False,True,True,False
CC(C)Oc1ccc(-c2cc3c4c(c2)[C@@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2N4CCCO3)c(C(F)(F)F)c1,False,True,True,False
NN1CCCOc2ccccc21,False,True,True,False
O=NN1CCCOc2ccccc21,False,True,True,False
O=C1CCNCC1,False,True,True,False
CC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,False,True,True,False
CCC(=O)O[C@]1(C(=O)SCC(=O)O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,False,True,True,False
CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,False,True,True,False
CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,False,True,True,False
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,False,True,True,False
CN(C)C(=S)Cl,False,True,True,False
CCC(=O)OC(=O)CC,False,True,True,False
O=C(O)CBr,False,True,True,False
CCC(=O)O[C@@]1(F)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,False,True,True,False
CCC(=O)O[C@]1(C(=O)O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,False,True,True,False
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)O,False,True,True,False
COC(=O)C(C)c1ccc2cc(OC)ccc2c1,False,True,True,False
C=C,False,True,True,False
COc1ccc2cc(C(C)C(=O)O)ccc2c1,False,True,True,False
COc1ccc2cc([C@@H](C)C=O)ccc2c1,False,True,True,False
COC(=O)[C@@H](C)c1ccc2cc(OC)ccc2c1,False,True,True,False
N#C[C@@H]1CCCC(=O)C1,False,True,True,False
C#CC1=CC(=O)CCC1,False,True,True,False
O=C1C=CCCC1,False,True,True,False
O=C1C=C(Cl)CCC1,False,True,True,False
O=C1CCC[C@H](C(=O)O)C1,False,True,True,False
CC(C)O,False,True,True,False
CC(C)(C)OC(=O)N1CCC[C@H](N)C1,False,True,True,False
C=CC(C)(C)[C@]12C[C@H](C(=O)O1)[C@@H](C(=O)n1ccnc1)C2,False,True,True,False
O=C(n1ccnc1)n1ccnc1,False,True,True,False
OCc1ccccc1,False,True,True,False
CC(C)=CCBr,False,True,True,False
COC(=O)C1CC(=O)CC1C(=O)O,False,True,True,False
BrCCBr,False,True,True,False
COc1ccc(N=[N+]=[N-])cc1Cl,False,True,True,False
[N-]=[N+]=Nc1ccc(Br)cc1,False,True,True,False
C#Cc1ccccc1,False,True,True,False
[N-]=[N+]=Nc1ccc([N+](=O)[O-])cc1,False,True,True,False
CCCSc1ccc([N+](=O)[O-])c(N=[N+]=[N-])c1,False,True,True,False
N#CCC#N,False,True,True,False
COc1cc(N=[N+]=[N-])cc(OC)c1OC,False,True,True,False
C#Cc1ccc(C)cc1,False,True,True,False
Cc1ccc(N=[N+]=[N-])cc1,False,True,True,False
[N-]=[N+]=Nc1cccnc1,False,True,True,False
O=C1CCCC(=O)C1,False,True,True,False
CC(=O)c1ccccc1N=[N+]=[N-],False,True,True,False
CN(C)S(=O)(=O)c1ccc(N=[N+]=[N-])cc1,False,True,True,False
[N-]=[N+]=Nc1ccccc1O,False,True,True,False
COC(=O)c1ccc(N=[N+]=[N-])cc1,False,True,True,False
Cc1cccc(C)c1N=[N+]=[N-],False,True,True,False
[N-]=[N+]=Nc1ccc(Cl)c(C(F)(F)F)c1,False,True,True,False
Cc1ccc([N+](=O)[O-])c(N=[N+]=[N-])c1C,False,True,True,False
B1OBOBO1,False,True,True,False
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,False,True,True,False
O=C(O)C(F)(F)F,False,True,True,False
CCCCCCCCCCCCCCCCCC(=O)NCCOCCOCC(N)=O,False,True,True,False
COc1ccc2oc(=O)[nH]c2c1,False,True,True,False
COc1ccc(O)c(N)c1,False,True,True,False
CC(C)(C)c1ccc(O)c(N)c1,False,True,True,False
CC(C)(C)c1ccc2oc(=O)[nH]c2c1,False,True,True,False
Cc1nc(-c2nnn(C)c2CO)ccc1Br,False,True,True,False
Cc1nc(-c2c(CO)nnn2C)ccc1Br,False,True,True,False
O=CO,False,True,True,False
